Student_ID,Student_Age,Sex,High_School_Type,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Attendance,Reading,Notes,Listening_in_Class,Project_work,Grade,Grade_Numeric
STUDENT111,19-22,Male,State,50%,No,No,Private,2,0,0,1,0,1,BA,7
STUDENT112,18,Female,Private,100%,No,Yes,Private,0,2,0,0,1,1,BA,7
STUDENT113,19-22,Female,Other,50%,Yes,No,Private,0,2,0,1,1,1,BA,7
STUDENT114,19-22,Female,Other,50%,No,No,Private,0,0,0,1,0,1,AA,8
STUDENT115,19-22,Female,State,100%,Yes,Yes,Private,8,2,1,1,1,1,BA,7
STUDENT116,19-22,Female,State,100%,Yes,No,Bus,0,2,1,1,1,1,AA,8
STUDENT117,19-22,Female,State,100%,No,No,Private,0,2,1,1,1,0,AA,8
STUDENT118,23-27,Female,Private,50%,No,Yes,Private,0,2,0,1,0,1,AA,8
STUDENT119,18,Male,State,100%,No,Yes,Bus,0,0,0,1,0,0,AA,8
STUDENT120,19-22,Female,State,75%,No,Yes,Private,0,2,0,0,1,1,BA,7
STUDENT121,19-22,Female,Private,50%,Yes,Yes,Bus,2,1,0,0,1,1,AA,8
STUDENT122,19-22,Female,State,50%,Yes,Yes,Bus,0,1,1,1,1,0,Fail,0
STUDENT123,18,Male,State,100%,No,Yes,Private,0,2,1,0,1,1,BA,7
STUDENT124,19-22,Female,Other,50%,No,No,Private,12,2,1,0,0,0,AA,8
STUDENT125,18,Female,State,75%,Yes,Yes,Bus,0,2,0,0,1,1,BB,6
STUDENT126,18,Female,State,100%,Yes,Yes,Private,0,2,0,1,1,0,BA,7
STUDENT127,18,Female,Private,75%,Yes,Yes,Bus,12,1,0,1,1,1,BB,6
STUDENT128,18,Female,State,75%,No,No,Private,0,0,0,0,0,1,AA,8
STUDENT129,18,Female,State,75%,No,Yes,Bus,0,0,0,0,0,1,Fail,0
STUDENT130,18,Female,State,50%,Yes,Yes,Private,0,2,1,1,1,0,BB,6
STUDENT131,18,Female,State,50%,Yes,Yes,Private,0,2,1,1,0,0,AA,8
STUDENT132,18,Female,Private,100%,No,Yes,Private,0,1,0,1,1,1,CB,5
STUDENT133,18,Female,Private,100%,No,Yes,Private,0,2,0,1,0,0,BB,6
STUDENT134,18,Female,State,100%,No,No,Bus,0,2,1,1,1,1,BB,6
STUDENT135,18,Female,State,75%,No,Yes,Private,0,1,0,1,1,1,AA,8
STUDENT136,19-22,Female,State,50%,Yes,Yes,Private,0,0,0,0,1,1,BA,7
STUDENT137,18,Female,State,50%,Yes,Yes,Bus,0,1,0,0,1,0,Fail,0
STUDENT138,18,Female,Private,100%,No,Yes,Private,0,2,1,0,0,1,BA,7
STUDENT139,18,Female,State,75%,Yes,Yes,Bus,12,1,0,0,1,1,Fail,0
STUDENT140,18,Female,State,75%,Yes,No,Bus,2,1,0,0,1,1,Fail,0
STUDENT141,19-22,Female,State,50%,Yes,Yes,Private,0,2,0,1,0,1,CC,4
STUDENT142,18,Female,State,75%,No,No,Private,0,0,0,1,1,0,CC,4
STUDENT143,18,Female,Private,75%,No,No,Private,0,2,1,0,0,0,AA,8
STUDENT144,19-22,Female,State,75%,Yes,Yes,Bus,12,1,0,1,0,1,CB,5
STUDENT145,18,Female,Private,100%,No,No,Private,12,2,1,0,1,0,BB,6
